asset_no,asset_name,location_code,asset_type,status,purchase_date,cost
A001,Pump Unit Alpha,LOC01,Pump,Active,2018-03-15,15000
A002,Compressor Beta,LOC02,Compressor,Active,2019-07-22,32000
A003,Generator Gamma,,Generator,Inactive,2017-01-10,48000
A004,Pump Unit Delta,LOC01,Pump,Active,2020-11-05,16500
A005,Valve Epsilon,LOC03,Valve,Active,2021-06-30,3200
A006,Motor Zeta,LOC02,Motor,Under Repair,2016-08-19,9800
A007,Compressor Eta,,Compressor,Active,2022-02-14,35000
A008,Tank Theta,LOC04,Tank,Active,2015-05-27,22000
A009,Pump Unit Iota,LOC99,Pump,Active,2023-01-18,17000
A010,Generator Kappa,LOC01,Generator,,2019-09-03,51000
