wo_id,equip_id,technician_ref,status,priority,created_date,closed_date,description
WO011,A001,U001,Closed,Low,2024-05-01,2024-05-02,Filter replacement
WO012,A003,U002,Open,High,2024-05-03,,Pump failure inspection
WO013,A002,U003,Closed,Medium,2024-05-05,2024-05-06,Chain lubrication
WO014,A005,U001,Open,Low,2024-05-07,,Safety audit check
WO015,A001,U002,Closed,High,2024-05-10,2024-05-12,Gearbox replacement
WO016,A004,U003,In Progress,Medium,2024-05-12,,Sensor recalibration
WO017,A006,U001,Closed,Low,2024-05-15,2024-05-16,General cleaning
WO018,A002,U002,Open,High,2024-05-18,,Cooling fan replacement
WO019,A003,U001,Closed,Medium,2024-05-20,2024-05-22,Belt adjustment
WO020,A007,U003,Open,Low,2024-05-25,,Battery inspection
